time(s)	sample_size	low_conf_int	p_value	high_conf_int
184	11	0	<0.090909	0.2849142
188	12	0	<0.083333	0.2646485
194	13	0	<0.076923	0.2470526
198	14	0	<0.071429	0.2316358
203	15	0	<0.066667	0.2180194
208	16	0	<0.0625	0.2059072
213	17	0	<0.058824	0.1950643
217	18	0	<0.055556	0.185302
222	19	0	<0.052632	0.1764669
227	20	0	<0.05	0.1684335
231	21	0	<0.047619	0.1610976
236	22	0	<0.045455	0.1543725
241	23	0	<0.043478	0.1481851
246	24	0	<0.041667	0.1424736
251	25	0	<0.04	0.1371852
255	26	0	<0.038462	0.1322746
260	27	0	<0.037037	0.1277029
264	28	0	<0.035714	0.1234361
269	29	0	<0.034483	0.1194449
274	30	0	<0.033333	0.1157033
279	31	0	<0.032258	0.1121887
283	32	0	<0.03125	0.1088812
288	33	0	<0.030303	0.1057628
293	34	0	<0.029412	0.1028179
297	35	0	<0.028571	0.1000324
303	36	0	<0.027778	0.09739376
308	37	0	<0.027027	0.09489059
312	38	0	<0.026316	0.09251276
317	39	0	<0.025641	0.0902511
322	40	0	<0.025	0.0880973
326	41	0	<0.02439	0.08604384
331	42	0	<0.02381	0.08408385
336	43	0	<0.023256	0.08221112
341	44	0	<0.022727	0.08041994
345	45	0	<0.022222	0.0787051
350	46	0	<0.021739	0.07706183
355	47	0	<0.021277	0.07548573
359	48	0	<0.020833	0.07397279
364	49	0	<0.020408	0.07251926
369	50	0	<0.02	0.07112174
374	51	0	<0.019608	0.06977703
378	52	0	<0.019231	0.06848221
383	53	0	<0.018868	0.06723455
388	54	0	<0.018519	0.06603151
393	55	0	<0.018182	0.06487076
398	56	0	<0.017857	0.0637501
403	57	0	<0.017544	0.06266748
407	58	0	<0.017241	0.06162101
412	59	0	<0.016949	0.0606089
417	60	0	<0.016667	0.05962949
421	61	0	<0.016393	0.05868122
426	62	0	<0.016129	0.05776263
431	63	0	<0.015873	0.05687235
436	64	0	<0.015625	0.05600909
441	65	0	<0.015385	0.05517163
445	66	0	<0.015152	0.05435885
450	67	0	<0.014925	0.05356965
455	68	0	<0.014706	0.05280304
459	69	0	<0.014493	0.05205806
464	70	0	<0.014286	0.0513338
469	71	0	<0.014085	0.05062941
474	72	0	<0.013889	0.04994408
478	73	0	<0.013699	0.04927706
483	74	0	<0.013514	0.04862762
488	75	0	<0.013333	0.04799506
493	76	0	<0.013158	0.04737875
497	77	0	<0.012987	0.04677807
502	78	0	<0.012821	0.04619242
507	79	0	<0.012658	0.04562125
511	80	0	<0.0125	0.04506404
516	81	0	<0.012346	0.04452026
521	82	0	<0.012195	0.04398945
525	83	0	<0.012048	0.04347115
530	84	0	<0.011905	0.04296492
534	85	0	<0.011765	0.04247034
539	86	0	<0.011628	0.04198702
544	87	0	<0.011494	0.04151457
549	88	0	<0.011364	0.04105263
553	89	0	<0.011236	0.04060086
558	90	0	<0.011111	0.04015892
563	91	0	<0.010989	0.0397265
567	92	0	<0.01087	0.03930329
572	93	0	<0.010753	0.038889
577	94	0	<0.010638	0.03848335
581	95	0	<0.010526	0.03808608
586	96	0	<0.010417	0.03769692
591	97	0	<0.010309	0.03731564
596	98	0	<0.010204	0.03694199
600	99	0	<0.010101	0.03657574
605	100	0	<0.01	0.03621669
